highest/JJS body/NN in/IN elected/VBN officials/NNS
we/PRP disapprove/VBP in/IN your/PRP$ sexuality/NN
literally/RB thousands/NNS in/IN perfectly/RB capable/JJ
women/NNS out/IN in/IN the/DT military/JJ
you/PRP disapprove/VBP in/IN what/WP they/PRP
strong/JJ support/NN in/IN the/DT solomon/NN
a/DT bit/NN in/IN difference/NN
of/IN favor/NN in/IN the/DT viet/NN
many/JJ in/IN them/PRP protested/VBD
recent/JJ bringing/NN in/IN freedom/NN to/TO
no/DT lack/NN in/IN understanding/NN and/CC
the/DT value/NN in/IN the/DT military/JJ
the/DT necessity/NN in/IN giving/VBG them/PRP
the/DT importance/NN in/IN the/DT military/JJ
the/DT shadow/NN in/IN reauthorization/NN in/IN
in/IN reauthorization/NN in/IN the/DT voters/NNS
on/IN support/NN in/IN our/PRP$ armed/JJ
the/DT members/NNS in/IN this/DT house/NN
the/DT loss/NN in/IN life/NN and/CC
the/DT course/NN in/IN america/NN s/VBZ
subsequent/JJ occupation/NN in/IN iraq/NN for/IN
the/DT beginning/NN in/IN the/DT iraq/JJ
march/NN members/NNS in/IN the/DT us/PRP
a/DT result/NN in/IN hostile/JJ action/NN
my/PRP$ district/NN in/IN houston/NN has/VBZ
the/DT course/NN in/IN the/DT nation/NN
the/DT goal/NN in/IN attracting/VBG the/DT
of/IN favor/NN in/IN the/DT solomon/NN
pacificism/NN based/VBN in/IN historic/JJ religious/JJ
middleclass/JJ values/NNS in/IN college/NN campuses/NNS
the/DT university/NN in/IN richmond/NN a/DT
a/DT ratio/NN in/IN to/TO one/CD
academic/JJ bill/NN in/IN rights/NNS that/WDT
continued/JJ support/NN in/IN congress/NN for/IN
military/JJ recruiting/NN in/IN campus/NN
equal/JJ access/NN in/IN military/JJ recruiters/NNS
the/DT president/NN in/IN September/NNP operates/VBZ
the/DT willingness/NN in/IN those/DT institutions/NNS
growing/VBG number/NN in/IN university/NN law/NN
and/CC colleges/NNS in/IN law/NN have/VBP
the/DT recruiters/NNS in/IN other/JJ employers/NNS
discredited/VBN numbers/NNS in/IN liberal/NN professors/NNS
single/JJ one/CD in/IN the/DT schools/NNS
university/NN in/IN richmond/JJ professor/NN
university/NN in/IN missouri/NN on/IN
educational/JJ mission/NN in/IN the/DT university/NN
on/IN charge/NN in/IN hiring/VBG campus/NN
on/IN selection/NN in/IN guest/NN speakers/NNS
quotas/NNS based/VBN in/IN party/NN affiliation/NN
gross/JJ imbalance/NN in/IN liberal/JJ vs/NNS
the/DT principle/NN in/IN diversity/NN of/IN
save/VB discussion/NN in/IN gays/NNS of/IN
surely/RB americans/NNS in/IN all/DT points/NNS
all/DT points/NNS in/IN view/NN can/MD
of/IN favor/NN in/IN a/DT group/NN
a/DT group/NN in/IN law/NN schools/NNS
of/IN grants/NNS in/IN federal/JJ funds/NNS
take/NN millions/NNS in/IN dollars/NNS of/IN
about/IN policies/NNS in/IN the/DT united/VBN
the/DT committee/NN in/IN rules/NNS yesterday/NN
to/TO act/VB in/IN this/DT most/RBS
on/IN regulations/NNS in/IN implementing/VBG the/DT
overruled/VBD part/NN in/IN the/DT new/JJ
on/IN violation/NN in/IN the/DT constitution/NN
amendment/NN rights/NNS in/IN our/PRP$ colleges/NNS
report/NN number/NN in/IN gay/JJ linguists/NNS
thrown/VBN out/RP in/IN the/DT military/JJ
the/DT war/NN in/IN terror/NN has/VBZ
a/DT backlog/NN in/IN untranslated/JJ investigative/JJ
on/IN five/CD in/IN the/DT arabic/JJ
the/DT study/NN in/IN sexual/JJ minorities/NNS
a/DT freedom/NN in/IN information/NN act/NN
elaine/NN donnelly/RB in/IN the/DT center/NN
for/IN study/NN in/IN sexual/JJ minorities/NNS
end/VB discrimination/NN in/IN any/DT form/NN
and/CC regulation/NN in/IN the/DT land/NN
since/IN September/NNP in/IN
the/DT abilities/NNS in/IN gay/JJ people/NNS
not/RB want/VB in/IN their/PRP$ campus/NN
them/PRP form/VBP in/IN discrimination/NN
the/DT order/NN in/IN the/DT court/NN
the/DT rule/NN in/IN law/NN and/CC
critical/JJ piece/NN in/IN legislation/NN originally/RB
equal/JJ access/NN in/IN our/PRP$ nation/NN
circuit/NN court/NN in/IN appeals/NNS ruled/VBD
the/DT needs/NNS in/IN nearly/RB every/DT
of/IN support/NN in/IN this/DT legislation/NN
equal/JJ access/NN in/IN all/DT in/IN
in/IN all/DT in/IN our/PRP$ campuses/NNS
of/IN support/NN in/IN this/DT resolution/NN
or/CC symbols/NNS in/IN what/WP the/DT
best/JJS quality/NN in/IN people/NNS serving/VBG
all/DT sorts/NNS in/IN branches/NNS on/IN
of/IN favor/NN in/IN this/DT resolution/NN
schools/NNS or/CC in/IN any/DT college/NN
of/IN support/NN in/IN the/DT amendment/NN
today/NN out/IN in/IN a/DT bit/NN
a/DT bit/NN in/IN a/DT sense/NN
pride/NN themselves/PRP in/IN having/VBG the/DT
a/DT couple/NN in/IN coeds/NNS walking/VBG
a/DT lot/NN in/IN different/JJ areas/NNS
that/WDT none/NN in/IN us/PRP would/MD
supports/VBZ many/JJ in/IN the/DT programs/NNS
would/MD call/VB in/IN them/PRP and/CC
are/VBP afraid/JJ in/IN what/WP our/PRP$
their/PRP$ lives/NNS in/IN the/DT line/NN
are/VBP afraid/JJ in/IN this/DT message/NN
on/IN support/NN in/IN this/DT resolution/NN
all/DT in/IN the/DT hijackers/NNS
proponents/NNS in/IN this/DT provision/NN
the/DT completion/NN in/IN a/DT fence/NN
the/DT people/NNS in/IN the/DT united/VBN
any/DT intention/NN in/IN the/DT part/NN
the/DT senate/NN in/IN ever/RB dealing/VBG
overwhelming/JJ proportion/NN in/IN the/DT workforce/NN
the/DT proponents/NNS in/IN this/DT bill/NN
comprehensive/JJ reform/NN in/IN our/PRP$ immigration/NN
about/IN these/DT in/IN course/NN of/IN
fundamental/JJ change/NN in/IN the/DT asylum/NN
making/VBG any/DT in/IN the/DT changes/NNS
whole/JJ bunch/NN in/IN things/NNS that/WDT
include/VB consistency/NN in/IN matters/NNS that/WDT
we/PRP rely/VBP in/IN translations/NNS and/CC
wellfounded/JJ fear/NN in/IN persecution/NN as/IN
a/DT result/NN in/IN these/DT changes/NNS
a/DT fear/NN in/IN persecution/NN
as/IN lack/NN in/IN eye/NN contact/NN
be/VB symptoms/NNS in/IN lying/VBG
corroborating/JJ evidence/NN in/IN their/PRP$ claims/NNS
by/IN one/CD in/IN the/DT prohibited/VBN
the/DT proponents/NNS in/IN section/NN assert/VBP
the/DT authors/NNS in/IN this/DT provision/NN
the/DT department/NN in/IN homeland/NN security/NN
is/VBZ made/VBN in/IN the/DT credibility/NN
the/DT credibility/NN in/IN their/PRP$ claim/NN
to/TO enactment/NN in/IN section/NN could/MD
jews/NNS claims/NNS in/IN being/VBG thrown/VBN
strong/JJ support/NN in/IN hr/NN the/DT
dhs/NNS completion/NN in/IN a/DT biometric/JJ
the/DT integrity/NN in/IN our/PRP$ immigration/NN
they/PRP are/VBP in/IN the/DT line/NN
and/CC security/NN in/IN our/PRP$ constituents/NNS
the/DT district/NN in/IN columbia/NN i/FW
quote/NN improvements/NNS in/IN barriers/NNS at/IN
drinking/NN water/NN in/IN neighboring/VBG communities/NNS
a/DT couple/NN in/IN miles/NNS on/IN
the/DT terms/NNS in/IN this/DT bill/NN
the/DT vicinity/NN in/IN the/DT barrier/NN
diego/NN section/NN in/IN this/DT bill/NN
the/DT department/NN in/IN homeland/NN security/NN
as/IN most/JJS in/IN these/DT laws/NNS
wide/JJ range/NN in/IN things/NNS on/IN
the/DT impact/NN in/IN the/DT generosity/NN
of/IN terms/NNS in/IN the/DT publicity/NN
the/DT cause/NN in/IN democracy/NN
is/VBZ because/RB in/IN my/PRP$ desire/NN
the/DT use/NN in/IN torture/VB and/CC
the/DT cause/NN in/IN democracy/NN
became/VBD weapons/NNS in/IN mass/NN destruction/NN
the/DT middle/NN in/IN the/DT country/NN
to/TO get/VB in/IN the/DT planes/NNS
taken/VBN advantage/NN in/IN by/IN terrorists/NNS
country/NN full/JJ in/IN american/JJ kids/NNS
i/FW rise/NN in/IN course/NN on/IN
on/IN support/NN in/IN this/DT supplemental/JJ
the/DT scope/NN in/IN this/DT supplemental/JJ
moving/VBG forward/RB in/IN the/DT rest/NN
the/DT rest/NN in/IN our/PRP$ appropriations/NNS
little/JJ piece/NN in/IN that/DT money/NN
id/JJ act/NN in/IN
the/DT secretary/NN in/IN homeland/NN security/NN
expeditious/JJ construction/NN in/IN barriers/NNS and/CC
the/DT vicinity/NN in/IN the/DT us/PRP
of/IN areas/NNS in/IN high/JJ illegal/JJ
an/DT area/NN in/IN more/JJR than/IN
and/CC miles/NNS in/IN international/JJ border/NN
this/DT area/NN in/IN the/DT border/NN
significant/JJ number/NN in/IN illegal/JJ immigrants/NNS
the/DT portions/NNS in/IN the/DT san/NN
this/DT portion/NN in/IN the/DT border/NN
of/IN favor/NN in/IN this/DT bill/NN
i/FW spoke/VBD in/IN the/DT floor/NN
conference/NN report/NN in/IN the/DT intelligence/NN
the/DT performance/NN in/IN duty/NN we/PRP
the/DT time/NN in/IN death/NN
the/DT time/NN in/IN their/PRP$ death/NN
of/IN situations/NNS in/IN pending/VBG divorce/NN
the/DT right/NN in/IN the/DT insured/VBN
chairman/NN in/IN behalf/NN in/IN
in/IN behalf/NN in/IN the/DT members/NNS
the/DT members/NNS in/IN the/DT military/JJ
officers/NNS association/NN in/IN america/NN moaa/NN
its/PRP$ position/NN in/IN the/DT servicemen/NNS
s/VBZ markup/NN in/IN the/DT fy/NN
beneficiaries/NNS instead/RB in/IN the/DT current/JJ
expediting/VBG passage/NN in/IN improved/VBN death/NN
notification/NN instead/RB in/IN spousal/JJ consent/NN
the/DT performance/NN in/IN duty/NN that/WDT
the/DT rule/NN in/IN hr/NN
on/IN favor/NN in/IN hr/NN but/CC
be/VB worked/VBN in/IN together/RB
the/DT creation/NN in/IN adequate/JJ legal/JJ
by/IN generations/NNS in/IN scots/NNS
critical/JJ area/NN in/IN education/NN
a/DT study/NN in/IN high/JJ school/NN
found/VBD percent/NN in/IN the/DT top/JJ
and/CC percent/NN in/IN the/DT top/JJ
than/IN half/NN in/IN engineers/NNS and/CC
any/DT measure/NN in/IN educational/JJ excellence/NN
too/RB many/JJ in/IN our/PRP$ pundits/NNS
by/IN dint/NN in/IN their/PRP$ success/NN
within/IN reach/NN in/IN anyone/NN willing/JJ
major/JJ theme/NN in/IN last/JJ fall/NN
a/DT debate/NN in/IN immigration/NN reform/NN
early/JJ days/NNS in/IN the/DT new/JJ
the/DT gauntlet/NN in/IN a/DT dangerous/JJ
be/VB conditioned/VBN in/IN any/DT number/NN
the/DT rights/NNS in/IN both/DT foreignborn/NN
the/DT creation/NN in/IN a/DT large/JJ
the/DT creation/NN in/IN a/DT large/JJ
many/JJ millions/NNS in/IN undocumented/JJ workers/NNS
come/VB out/RP in/IN the/DT shadows/NNS
some/DT form/NN in/IN legitimate/JJ status/NN
of/IN favor/NN in/IN rational/JJ proposals/NNS
the/DT attacks/NNS in/IN September/NNP th/NN
the/DT house/NN in/IN representatives/NNS
certainly/RB all/DT in/IN us/PRP who/WP
attorney/NN general/NN in/IN virginia/NN jerry/NN
worked/VBD together/RB in/IN the/DT driver/NN
the/DT house/NN in/IN representatives/NNS
the/DT exception/NN in/IN one/CD horrific/JJ
provide/VB some/DT in/IN this/DT aid/NN
umbrella/NN group/NN in/IN prominent/JJ national/JJ
of/IN support/NN in/IN hr/NN to/TO
vast/JJ majority/NN in/IN this/DT billion/CD
repeatedly/RB rely/VB in/IN emergency/NN spending/NN
the/DT rule/NN in/IN law/NN and/CC
the/DT burden/NN in/IN our/PRP$ american/JJ
ranking/JJ member/NN in/IN the/DT helsinki/NN
commission/NN commission/NN in/IN security/NN and/CC
a/DT number/NN in/IN groups/NNS on/IN
and/CC survivors/NNS in/IN torture/VB and/CC
home/NN country/NN in/IN short/JJ notice/NN
person/NN convicted/VBN in/IN using/VBG a/DT
into/IN one/CD in/IN its/PRP$ national/JJ
those/DT convicted/VBN in/IN using/VBG a/DT
distinguished/JJ chairman/NN in/IN the/DT committee/NN
the/DT committee/NN in/IN the/DT judiciary/NN
remind/VB all/DT in/IN our/PRP$ friends/NNS
unfunded/JJ mandates/NNS in/IN those/DT states/NNS
important/JJ point/NN in/IN order/NN and/CC
a/DT number/NN in/IN examples/NNS in/IN
in/IN examples/NNS in/IN this/DT overreaction/NN
its/PRP$ share/NN in/IN violating/VBG the/DT
the/DT process/NN in/IN having/VBG the/DT
of/IN support/NN in/IN the/DT nadlermeeksjacksonlee/NN
strike/VB section/NN in/IN hr/NN which/WDT
evidentiary/JJ requirements/NNS in/IN asylumseekers/NNS fleeing/VBG
seek/VBP withholding/NN in/IN removal/NN from/IN
the/DT proponents/NNS in/IN this/DT bill/NN
been/VBN accused/VBN in/IN plotting/VBG to/TO
the/DT mind/NN in/IN their/PRP$ persecutor/NN
subjective/JJ assessments/NNS in/IN an/DT applicant/NN
a/DT nation/NN in/IN refuge/NN for/IN
for/IN billion/CD in/IN money/NN when/WRB
several/JJ in/IN these/DT hijackers/NNS
naval/JJ base/NN in/IN the/DT west/NN
roughly/RB percent/NN in/IN our/PRP$ border/NN
completion/NN in/IN this/DT fence/NN
us/PRP department/NN in/IN the/DT interior/JJ
that/WDT construction/NN in/IN the/DT fence/NN
continued/VBN existence/NN in/IN any/DT relevant/JJ
large/JJ numbers/NNS in/IN persons/NNS crossing/VBG
on/IN September/NNP in/IN the/DT san/NN
for/IN safety/NN in/IN the/DT border/NN
to/TO construction/NN in/IN the/DT fence/NN
legislation/NN are/VBP in/IN particular/JJ interest/NN
the/DT committee/NN in/IN homeland/NN security/NN
by/IN several/JJ in/IN the/DT hijackers/NNS
own/JJ ports/NNS in/IN entry/NN america/NN
comprehensive/JJ defense/NN in/IN the/DT global/JJ
the/DT effects/NNS in/IN other/JJ countries/NNS
true/JJ testament/NN in/IN our/PRP$ country/NN
heroes/NNS medal/NN in/IN valor/NN for/IN
was/VBD killed/VBN in/IN a/DT battalion/NN
battalion/NN chief/NN in/IN the/DT fire/NN
of/IN September/NNP in/IN this/DT year/NN
first/JJ line/NN in/IN defense/NN against/IN
home/NN state/NN in/IN wyoming/NN and/CC
had/VBD truckloads/NNS in/IN drugs/NNS coming/VBG
and/CC people/NNS in/IN the/DT us/PRP
us/PRP side/NN in/IN people/NNS trying/VBG
a/DT lot/NN in/IN time/NN on/IN
taking/VBG care/NN in/IN our/PRP$ troops/NNS
the/DT times/NNS in/IN troy/NN i/FW
a/DT member/NN in/IN the/DT house/NN
on/IN some/DT in/IN these/DT solutions/NNS
will/MD focus/VB in/IN the/DT issue/NN
the/DT miles/NNS in/IN border/NN fencing/VBG
first/JJ round/NN in/IN legislation/NN which/WDT
that/IN one/CD in/IN the/DT first/JJ
address/VB some/DT in/IN the/DT recommendations/NNS
the/DT jurisdiction/NN in/IN the/DT committee/NN
the/DT committee/NN in/IN government/NN reform/NN
federal/JJ acceptance/NN in/IN stateissued/JJ driver/NN
and/CC out/IN in/IN and/CC around/IN
little/JJ fear/NN in/IN capture/NN
a/DT majority/NN in/IN the/DT states/NNS
the/DT security/NN in/IN the/DT american/JJ
former/JJ secretary/NN in/IN state/NN in/IN
in/IN state/NN in/IN the/DT state/NN
of/IN page/NN in/IN the/DT commission/NN
strong/JJ support/NN in/IN the/DT conference/NN
the/DT chairman/NN in/IN the/DT appropriations/NNS
following/VBG passage/NN in/IN the/DT commission/NN
as/IN proof/NN in/IN an/DT individual/JJ
s/VBZ proof/NN in/IN legal/JJ presence/NN
satisfactory/JJ proof/NN in/IN identity/NN
comment/VB briefly/NN in/IN the/DT billion/CD
us/PRP occupation/NN in/IN iraq/NN the/DT
a/DT population/NN in/IN almost/RB million/CD
pentagon/NN only/RB in/IN the/DT nearly/RB
the/DT reality/NN in/IN their/PRP$ tour/NN
a/DT lack/NN in/IN armor/NN but/CC
the/DT careers/NNS in/IN some/DT on/IN
the/DT performance/NN in/IN secretary/NN rumsfeld/NN
the/DT war/NN in/IN terror/NN is/VBZ
and/CC out/IN in/IN our/PRP$ country/NN
new/JJ burdens/NNS in/IN those/DT seeking/VBG
the/DT process/NN in/IN setting/VBG up/RP
elected/VBN president/NN in/IN the/DT palestinian/JJ
on/IN support/NN in/IN the/DT war/NN
the/DT situation/NN in/IN the/DT palestinian/JJ
responsible/JJ stewards/NNS in/IN the/DT public/JJ
on/IN charge/NN in/IN congress/NN once/RB
payers/NNS billions/NNS in/IN dollars/NNS on/IN
the/DT lights/NNS in/IN our/PRP$ duty/NN
new/JJ president/NN in/IN the/DT palestinian/JJ
with/IN certain/JJ in/IN our/PRP$ republican/JJ
the/DT department/NN in/IN homeland/NN security/NN
strong/JJ support/NN in/IN this/DT rule/NN
debate/VB here/RB in/IN the/DT house/NN
the/DT middle/NN in/IN the/DT preamble/NN
the/DT likes/NN in/IN mohammed/JJ atta/NN
court/NN because/IN in/IN a/DT traffic/NN
some/DT sort/NN in/IN worker/NN program/NN
passed/VBD out/RP in/IN here/RB and/CC
made/VBD half/NN in/IN the/DT amendments/NNS
of/IN light/NN in/IN that/IN we/PRP
the/DT completion/NN in/IN the/DT mile/NN
keep/VB all/DT in/IN these/DT environmental/JJ
to/TO nest/NN in/IN part/NN on/IN
all/DT kinds/NNS in/IN trash/NN on/IN
and/CC six/CD in/IN those/DT amendments/NNS
we/PRP had/VBD in/IN our/PRP$ side/NN
of/IN order/NN in/IN the/DT original/JJ
the/DT rights/NNS in/IN the/DT minority/NN
support/NN members/NNS in/IN this/DT body/NN
deeply/RB appreciative/JJ in/IN the/DT expeditious/JJ
important/JJ piece/NN in/IN legislation/NN
have/VB differences/NNS in/IN opinion/NN about/IN
have/VBP all/DT in/IN the/DT support/NN
the/DT area/NN in/IN responsibility/NN for/IN
the/DT committee/NN in/IN appropriations/NNS the/DT
military/JJ quality/NN in/IN life/NN and/CC
funding/NN million/CD in/IN which/WDT goes/VBZ
the/DT department/NN in/IN defense/NN health/NN
take/VB care/NN in/IN extra/JJ dod/NN
the/DT cost/NN in/IN dealing/VBG with/IN
come/VB out/RP in/IN the/DT hide/VB
the/DT hide/VB in/IN va/NN health/NN
off/RP hundreds/NNS in/IN employees/NNS on/IN
on/IN support/NN in/IN the/DT bill/NN
the/DT wake/NN in/IN the/DT tsunami/NN
down/RB vote/NN in/IN the/DT socalled/JJ
must/MD vote/VB in/IN the/DT bill/NN
statements/NNS here/RB in/IN the/DT floor/NN
tearing/VBG down/RP in/IN the/DT berlin/NN
the/DT rule/NN in/IN law/NN and/CC
paramount/JJ interest/NN in/IN the/DT united/VBN
the/DT reach/NN in/IN this/DT amendment/NN
extraordinary/JJ rejection/NN in/IN the/DT rule/NN
the/DT rule/NN in/IN law/NN is/VBZ
legitimate/JJ transfer/NN in/IN people/NNS and/CC
and/CC county/NN in/IN san/NN diego/NN
the/DT construction/NN in/IN barriers/NNS and/CC
to/TO stay/VB in/IN for/IN another/DT
or/CC spokesman/NN in/IN the/DT palestine/JJ
for/IN purposes/NNS in/IN this/DT act/NN
imposing/VBG sanctions/NNS in/IN them/PRP
are/VBP now/RB in/IN the/DT cusp/NN
the/DT cusp/NN in/IN a/DT historic/JJ
keeping/VBG costs/NNS in/IN car/NN insurance/NN
the/DT opposition/NN in/IN this/DT side/NN
the/DT laws/NNS in/IN the/DT land/NN
comparable/JJ to/TO in/IN hr/NN and/CC
the/DT secretary/NN in/IN homeland/NN security/NN
of/IN c/NN in/IN iirira/NN
a/DT waiver/NN in/IN protections/NNS established/VBN
a/DT grouping/NN in/IN similar/JJ laws/NNS
or/CC operation/NN in/IN crude/JJ oil/NN
can/MD act/VB in/IN the/DT waivers/NNS
the/DT breadth/NN in/IN waiver/NN authority/NN
granted/VBN by/IN in/IN hr/NN does/VBZ
court/NN and/CC in/IN state/NN claims/NNS
judicial/JJ review/NN in/IN nonstatutory/JJ laws/NNS
article/NN iii/NN in/IN the/DT united/VBN
the/DT jurisdiction/NN in/IN state/NN courts/NNS
state/NN courts/NNS in/IN any/DT ability/NN
only/RB means/VBZ in/IN allocating/VBG jurisdiction/NN
through/IN control/NN in/IN the/DT federal/JJ
the/DT redress/NN in/IN constitutional/JJ rights/NNS
the/DT vindication/NN in/IN constitutional/JJ rights/NNS
the/DT provisions/NNS in/IN hr/NN of/IN
strongly/RB supportive/JJ in/IN our/PRP$ fighting/VBG
iraq/JJ four/CD in/IN whom/WP resided/VBD
the/DT training/NN in/IN iraqi/JJ security/NN
rational/JJ debate/NN in/IN immigration/NN reform/NN
conference/NN because/IN in/IN their/PRP$ extreme/JJ
license/NN provisions/NNS in/IN this/DT bill/NN
the/DT name/NN in/IN national/JJ security/NN
the/DT construction/NN in/IN roads/NNS barriers/NNS
enormous/JJ waste/NN in/IN millions/NNS in/IN
in/IN millions/NNS in/IN federal/JJ and/CC
the/DT sustainability/NN in/IN the/DT binational/JJ
for/IN department/NN in/IN veterans/NNS affairs/NNS
to/TO section/NN in/IN the/DT conference/NN
a/DT variety/NN in/IN wounds/NNS both/DT
the/DT morale/NN in/IN our/PRP$ troops/NNS
the/DT rules/NNS in/IN the/DT house/NN
have/VB because/RB in/IN lack/NN in/IN
in/IN lack/NN in/IN adequate/JJ funding/NN
was/VBD one/CD in/IN a/DT variety/NN
a/DT variety/NN in/IN hospitals/NNS i/FW
the/DT sincerity/NN in/IN the/DT majority/NN
those/DT in/IN us/PRP who/WP
the/DT ability/NN in/IN ramzi/NN yousef/NN
of/IN iraq/NN in/IN trying/VBG to/TO
is/VBZ going/VBG in/IN of/IN iraq/NN
an/DT agreement/NN in/IN the/DT part/NN
the/DT part/NN in/IN the/DT sunni/NN
the/DT people/NNS in/IN iraq/NN that/IN
the/DT house/NN in/IN representatives/NNS a/DT
strong/JJ desire/NN in/IN the/DT minority/NN
the/DT rights/NNS in/IN the/DT minority/NN
states/NNS commission/NN in/IN international/JJ religious/JJ
says/VBZ thousands/NNS in/IN people/NNS who/WP
states/NNS commission/NN in/IN international/JJ religious/JJ
asylum/NN depending/VBG in/IN whether/IN someone/NN
example/NN percent/NN in/IN asylum/NN seekers/NNS
that/IN one/CD in/IN centers/NNS examined/VBD
the/DT exception/NN in/IN the/DT operation/NN
the/DT effects/NNS in/IN throwing/VBG people/NNS
needed/VBN especially/RB in/IN the/DT reasons/NNS
the/DT department/NN in/IN homeland/NN security/NN
