highest/JJS body/NN of/IN elected/VBN officials/NNS 
tweaking/NN some/DT of/IN it/PRP in/IN 
the/DT privilege/NN of/IN serving/VBG on/IN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
a/DT number/NN of/IN the/DT criticisms/NNS 
the/DT criticisms/NNS of/IN the/DT ethics/NNS 
the/DT deletion/NN of/IN the/DT amendment/NN 
the/DT code/NN of/IN conduct/NN the/DT 
a/DT number/NN of/IN provisions/NNS that/WDT 
on/IN standards/NNS of/IN official/JJ conduct/NN 
package/NN because/IN of/IN these/DT provisions/NNS 
on/IN standards/NNS of/IN official/JJ conduct/NN 
a/DT series/NN of/IN changes/NNS 
bipartisan/JJ process/NN of/IN our/PRP$ own/JJ 
bipartisan/JJ vote/NN of/IN to/TO an/DT 
automatic/JJ dismissal/NN of/IN any/DT complaint/NN 
for/IN rejection/NN of/IN that/DT amendment/NN 
the/DT life/NN of/IN a/DT complaint/NN 
the/DT members/NNS of/IN the/DT ethics/NNS 
a/DT group/NN of/IN suggestions/NNS that/IN 
new/JJ session/NN of/IN congress/NN convenes/VBZ 
the/DT ethics/NNS of/IN this/DT institution/NN 
opening/NN day/NN of/IN a/DT new/JJ 
the/DT interests/NNS of/IN this/DT institution/NN 
the/DT body/NN of/IN rules/NNS we/PRP 
the/DT actions/NNS of/IN our/PRP$ members/NNS 
the/DT substance/NN of/IN legislation/NN 
the/DT framers/NNS of/IN the/DT constitution/NN 
fundamental/JJ principle/NN of/IN protecting/VBG the/DT 
the/DT ethics/NNS of/IN this/DT house/NN 
the/DT ability/NN of/IN the/DT committee/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
enforce/VB standards/NNS of/IN integrity/NN by/IN 
the/DT amendment/NN of/IN these/DT rules/NNS 
on/IN standards/NNS of/IN official/JJ conduct/NN 
the/DT maintenance/NN of/IN the/DT status/NN 
the/DT adoption/NN of/IN this/DT rule/NN 
offensive/JJ aspects/NNS of/IN the/DT proposal/NN 
on/IN behalf/NN of/IN the/DT american/JJ 
on/IN behalf/NN of/IN the/DT integrity/NN 
the/DT integrity/NN of/IN this/DT institution/NN 
on/IN behalf/NN of/IN our/PRP$ commitment/NN 
on/IN behalf/NN of/IN the/DT american/JJ 
with/IN clause/NN of/IN rule/NN xi/NN 
rule/NN xi/NN of/IN the/DT rules/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS i/FW 
the/DT rules/NNS of/IN the/DT committee/NN 
public/JJ meeting/NN of/IN the/DT full/JJ 
governing/VBG procedure/NN of/IN the/DT committee/NN 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS are/VBP 
the/DT rules/NNS of/IN the/DT committee/NN 
the/DT chairman/NN of/IN the/DT committee/NN 
written/VBN request/NN of/IN members/NNS of/IN 
of/IN members/NNS of/IN the/DT committee/NN 
clause/NN c/NN of/IN rule/NN xi/NN 
rule/NN xi/NN of/IN the/DT rules/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS 
Wednesday/NNP meeting/NN of/IN the/DT committee/NN 
written/VBN request/NN of/IN a/DT majority/NN 
a/DT majority/NN of/IN the/DT members/NNS 
the/DT members/NNS of/IN the/DT committee/NN 
possible/JJ meetings/NNS of/IN the/DT committee/NN 
minority/NN member/NN of/IN the/DT subcommittee/NN 
simultaneous/JJ scheduling/NN of/IN committee/NN and/CC 
separate/JJ orders/NNS of/IN h/NN res/VBZ 
the/DT house/NN of/IN representatives/NNS on/IN 
to/TO consist/VB of/IN six/CD standing/NN 
capabilities/NNS department/NN of/IN defense/NN counter/NN 
and/CC department/NN of/IN energy/NN national/JJ 
a/DT panel/NN of/IN the/DT committee/NN 
committee/NN consisting/VBG of/IN members/NNS of/IN 
of/IN members/NNS of/IN the/DT committee/NN 
the/DT jurisdiction/NN of/IN more/JJR than/IN 
the/DT expiration/NN of/IN six/CD months/NNS 
the/DT chairman/NN of/IN the/DT committee/NN 
a/DT majority/NN of/IN those/DT present/JJ 
with/IN approval/NN of/IN a/DT majority/NN 
majority/NN vote/NN of/IN a/DT quorum/NN 
a/DT quorum/NN of/IN the/DT committee/NN 
from/IN consideration/NN of/IN any/DT measure/NN 
and/CC recommendations/NNS of/IN a/DT subcommittee/NN 
the/DT intervention/NN of/IN three/CD calendar/NN 
the/DT members/NNS of/IN the/DT committee/NN 
majority/NN vote/NN of/IN a/DT quorum/NN 
a/DT quorum/NN of/IN the/DT committee/NN 
clause/NN g/NN of/IN rule/NN xi/NN 
rule/NN xi/NN of/IN the/DT rules/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS the/DT 
the/DT chairman/NN of/IN the/DT committee/NN 
committee/NN or/CC of/IN any/DT subcommittee/NN 
public/JJ announcement/NN of/IN the/DT date/NN 
subject/JJ matter/NN of/IN any/DT committee/NN 
the/DT commencement/NN of/IN the/DT hearing/NN 
the/DT chairman/NN of/IN the/DT committee/NN 
committee/NN or/CC of/IN any/DT subcommittee/NN 
the/DT concurrence/NN of/IN the/DT respective/JJ 
minority/NN member/NN of/IN the/DT committee/NN 
the/DT transaction/NN of/IN business/NN such/JJ 
clause/NN of/IN rule/NN xi/NN 
rule/NN xi/NN of/IN the/DT rules/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS shall/MD 
the/DT transaction/NN of/IN business/NN including/VBG 
the/DT markup/NN of/IN legislation/NN conducted/VBN 
or/CC part/NN of/IN the/DT remainder/NN 
the/DT remainder/NN of/IN that/DT hearing/NN 
because/IN disclosure/NN of/IN testimony/NN evidence/NN 
or/CC rule/NN of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS 
the/DT requirements/NNS of/IN the/DT preceding/VBG 
a/DT majority/NN of/IN those/DT present/JJ 
two/CD members/NNS of/IN the/DT committee/NN 
sole/JJ purpose/NN of/IN discussing/VBG b/NN 
a/DT member/NN of/IN the/DT committee/NN 
the/DT requirements/NNS of/IN a/DT and/CC 
the/DT provisions/NNS of/IN clause/NN g/NN 
clause/NN g/NN of/IN rule/NN xi/NN 
rule/NN xi/NN of/IN the/DT rules/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS such/JJ 
majority/NN vote/NN of/IN those/DT present/JJ 
two/CD members/NNS of/IN the/DT committee/NN 
a/DT majority/NN of/IN those/DT present/JJ 
two/CD members/NNS of/IN the/DT committee/NN 
the/DT approval/NN of/IN the/DT chairman/NN 
each/DT member/NN of/IN the/DT committee/NN 
a/DT member/NN of/IN that/DT member/NN 
attend/VB hearings/NNS of/IN the/DT committee/NN 
the/DT provisions/NNS of/IN committee/NN rule/NN 
the/DT provisions/NNS of/IN rule/NN a/DT 
the/DT taking/NN of/IN testimony/NN 
the/DT attendance/NN of/IN such/PDT a/DT 
the/DT approval/NN of/IN the/DT committee/NN 
the/DT attainment/NN of/IN any/DT required/JJ 
the/DT responsibility/NN of/IN individual/JJ members/NNS 
individual/JJ members/NNS of/IN the/DT committee/NN 
clause/NN g/NN of/IN rule/NN xi/NN 
rule/NN xi/NN of/IN the/DT rules/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS no/DT 
any/DT hearing/NN of/IN the/DT committee/NN 
the/DT house/NN of/IN representatives/NNS shall/MD 
for/IN purposes/NNS of/IN a/DT particular/JJ 
particular/JJ series/NN of/IN hearings/NNS on/IN 
particular/JJ article/NN of/IN legislation/NN or/CC 
particular/JJ subject/NN of/IN investigation/NN to/TO 
consecutive/JJ days/NNS of/IN hearings/NNS 
for/IN purposes/NNS of/IN taking/VBG testimony/NN 
b/NN onethird/NN of/IN the/DT members/NNS 
the/DT members/NNS of/IN the/DT committee/NN 
a/DT majority/NN of/IN the/DT committee/NN 
the/DT issuance/NN of/IN subpoenas/NNS authorizing/VBG 
the/DT use/NN of/IN executive/NN session/NN 
the/DT house/NN of/IN representatives/NNS unless/IN 
a/DT majority/NN of/IN the/DT committee/NN 
on/IN behalf/NN of/IN an/DT amendment/NN 
minority/NN member/NN of/IN the/DT committee/NN 
a/DT hearing/NN of/IN the/DT committee/NN 
in/IN order/NN of/IN seniority/NN 
in/IN order/NN of/IN their/PRP$ arrival/NN 
the/DT ratio/NN of/IN the/DT majority/NN 
the/DT order/NN of/IN recognition/NN for/IN 
the/DT members/NNS of/IN either/DT party/NN 
resident/NN commissioner/NN of/IN congress/NN and/CC 
the/DT purpose/NN of/IN carrying/VBG out/RP 
out/RP any/DT of/IN its/PRP$ functions/NNS 
and/CC xi/NNS of/IN the/DT rules/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS the/DT 
subparagraph/VB b/NN of/IN this/DT paragraph/NN 
and/CC testimony/NN of/IN such/JJ witnesses/NNS 
the/DT production/NN of/IN such/JJ books/NNS 
the/DT concurrence/NN of/IN the/DT full/JJ 
the/DT conduct/NN of/IN any/DT investigation/NN 
or/CC series/NN of/IN investigations/NNS or/CC 
a/DT majority/NN of/IN the/DT members/NNS 
a/DT majority/NN of/IN the/DT committee/NN 
clause/NN m/NN of/IN rule/NN xi/NN 
rule/NN xi/NN of/IN the/DT rules/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS compliance/NN 
the/DT house/NN of/IN representatives/NNS 
in/IN advance/NN of/IN presentation/NN and/CC 
all/DT members/NNS of/IN the/DT committee/NN 
in/IN advance/NN of/IN presentation/NN 
a/DT copy/NN of/IN any/DT such/JJ 
a/DT classification/NN of/IN secret/JJ or/CC 
all/DT members/NNS of/IN the/DT committee/NN 
in/IN advance/NN of/IN presentation/NN however/RB 
the/DT requirement/NN of/IN this/DT rule/NN 
majority/NN vote/NN of/IN the/DT committee/NN 
in/IN advance/NN of/IN his/PRP$ or/CC 
written/VBN statement/NN of/IN the/DT proposed/VBN 
brief/JJ summary/NN of/IN his/PRP$ or/CC 
subcommittee/NN members/NNS of/IN the/DT committee/NN 
b/NN members/NNS of/IN the/DT committee/NN 
or/CC panel/NN of/IN witnesses/NNS until/IN 
or/CC panel/NN of/IN witnesses/NNS thereafter/RB 
the/DT transcripts/NNS of/IN those/DT hearings/NNS 
the/DT end/NN of/IN the/DT record/NN 
the/DT request/NN of/IN onefifth/NN of/IN 
of/IN onefifth/NN of/IN those/DT members/NNS 
any/DT member/NN of/IN the/DT committee/NN 
the/DT event/NN of/IN a/DT vote/NN 
necessary/JJ absence/NN of/IN that/DT member/NN 
the/DT time/NN of/IN approval/NN of/IN 
of/IN approval/NN of/IN any/DT measure/NN 
any/DT member/NN of/IN the/DT committee/NN 
timely/JJ notice/NN of/IN intention/NN to/TO 
staff/NN director/NN of/IN the/DT committee/NN 
more/JJR members/NNS of/IN the/DT committee/NN 
a/DT part/NN of/IN the/DT report/NN 
total/JJ number/NN of/IN votes/NNS cast/VBN 
the/DT names/NNS of/IN those/DT voting/VBG 
brief/JJ description/NN of/IN the/DT question/NN 
no/DT point/NN of/IN order/NN shall/MD 
the/DT provisions/NNS of/IN the/DT rules/NNS 
the/DT rules/NNS of/IN the/DT committee/NN 
a/DT point/NN of/IN order/NN on/IN 
any/DT member/NN of/IN the/DT committee/NN 
such/JJ point/NN of/IN order/NN was/VBD 
the/DT result/NN of/IN each/DT record/NN 
any/DT meeting/NN of/IN the/DT committee/NN 
the/DT offices/NNS of/IN the/DT committee/NN 
a/DT description/NN of/IN the/DT amendment/NN 
the/DT name/NN of/IN each/DT member/NN 
the/DT names/NNS of/IN those/DT members/NNS 
clause/NN g/NN of/IN rule/NN xi/NN 
rule/NN xi/NN of/IN the/DT rules/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS all/DT 
a/DT classification/NN of/IN secret/JJ or/CC 
the/DT chairman/NN of/IN the/DT committee/NN 
the/DT approval/NN of/IN a/DT majority/NN 
a/DT majority/NN of/IN the/DT committee/NN 
unauthorized/JJ disclosure/NN of/IN any/DT national/JJ 
any/DT member/NN of/IN the/DT committee/NN 
resident/NN commissioner/NN of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS who/WP 
the/DT staffing/NN of/IN the/DT committee/NN 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS the/DT 
the/DT records/NNS of/IN the/DT committee/NN 
rule/NN vii/NN of/IN the/DT rules/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS 
minority/NN member/NN of/IN any/DT decision/NN 
clause/NN b/NN of/IN rule/NN vii/NN 
written/VBN request/NN of/IN any/DT member/NN 
any/DT member/NN of/IN the/DT committee/NN 
clause/NN k/NN of/IN rule/NN xi/NN 
rule/NN xi/NN of/IN the/DT rules/NNS 
the/DT rules/NNS of/IN the/DT house/NN 
the/DT house/NN of/IN representatives/NNS shall/MD 
the/DT committee/NN of/IN the/DT whole/JJ 
this/DT package/NN of/IN proposals/NNS will/MD 
other/JJ side/NN of/IN the/DT aisle/NN 
ranking/JJ member/NN of/IN the/DT ethics/NNS 
the/DT vote/NN of/IN the/DT ethics/NNS 
in/IN contravention/NN of/IN the/DT spirit/NN 
the/DT spirit/NN of/IN the/DT us/PRP 
for/IN review/NN of/IN legislation/NN 
admnistrative/JJ aspects/NNS of/IN the/DT department/NN 
the/DT department/NN of/IN homeland/NN security/NN 
a/DT conglomeration/NN of/IN federal/JJ agencies/NNS 
a/DT budget/NN of/IN billion/CD 
the/DT balance/NN of/IN my/PRP$ time/NN 
small/JJ group/NN of/IN members/NNS to/TO 
the/DT powers/NNS of/IN a/DT majority/NN 
a/DT majority/NN of/IN the/DT house/NN 
quorum/NN instead/RB of/IN the/DT real/JJ 
plain/JJ language/NN of/IN section/NN of/IN 
of/IN section/NN of/IN article/NN i/FW 
article/NN i/FW of/IN the/DT constitution/NN 
new/JJ category/NN of/IN quorum/NN a/DT 
very/RB idea/NN of/IN the/DT quorum/NN 
a/DT quorum/NN of/IN the/DT house/NN 
house/NN consists/VBZ of/IN a/DT majority/NN 
a/DT majority/NN of/IN the/DT membership/NN 
member/NN deprived/VBN of/IN the/DT right/NN 
the/DT work/NN of/IN the/DT house/NN 
be/VB deprived/VBN of/IN their/PRP$ rights/NNS 
the/DT rights/NNS of/IN those/DT closest/JJS 
the/DT guise/NN of/IN a/DT rules/NNS 
what/WP kind/NN of/IN body/NN the/DT 
a/DT majority/NN of/IN members/NNS of/IN 
of/IN members/NNS of/IN the/DT house/NN 
the/DT powers/NNS of/IN the/DT house/NN 
i/FW section/NN of/IN the/DT constitution/NN 
quorum/NN consists/VBZ of/IN a/DT majority/NN 
the/DT absence/NN of/IN a/DT majority/NN 
remaining/VBG minority/NN of/IN members/NNS of/IN 
of/IN members/NNS of/IN the/DT house/NN 
the/DT attendance/NN of/IN absent/JJ members/NNS 
the/DT floor/NN of/IN the/DT house/NN 
a/DT time/NN of/IN emergency/NN 
the/DT attendance/NN of/IN the/DT absentees/NNS 
a/DT minority/NN of/IN the/DT house/NN 
the/DT attendance/NN of/IN absent/JJ members/NNS 
ensuring/VBG continuity/NN of/IN government/NN 
the/DT aftermath/NN of/IN a/DT catastrophic/JJ 
another/DT member/NN of/IN the/DT house/NN 
a/DT list/NN of/IN names/NNS left/VBN 
a/DT quorum/NN of/IN the/DT majority/NN 
the/DT majority/NN of/IN members/NNS failed/VBD 
designated/VBN place/NN of/IN meeting/NN ceased/VBD 
for/IN purposes/NNS of/IN determining/VBG a/DT 
rump/NN minority/NN of/IN members/NNS who/WP 
a/DT declaration/NN of/IN war/NN or/CC 
for/IN use/NN of/IN military/JJ force/NN 
acting/JJ president/NN of/IN the/DT united/VBN 
provisional/JJ quorum/NN of/IN onehalf/NN of/IN 
of/IN onehalf/NN of/IN the/DT members/NNS 
define/VB out/IN of/IN existence/NN those/DT 
specified/VBN series/NN of/IN quorum/NN calls/NNS 
a/DT kind/NN of/IN extraconstitutional/JJ limbo/NN 
a/DT majority/NN of/IN the/DT total/JJ 
a/DT rump/NN of/IN a/DT minority/NN 
a/DT minority/NN of/IN the/DT body/NN 
a/DT vote/NN of/IN the/DT people/NNS 
the/DT qualifications/NNS of/IN its/PRP$ members/NNS 
the/DT continuity/NN of/IN representation/NN act/NN 
the/DT status/NN of/IN a/DT house/NN 
consisting/VBG only/RB of/IN members/NNS elected/VBN 
members/NNS out/IN of/IN existence/NN 
the/DT inability/NN of/IN the/DT house/NN 
the/DT issue/NN of/IN disability/NN a/DT 
the/DT case/NN of/IN the/DT president/NN 
be/VB incapable/JJ of/IN participating/VBG in/IN 
the/DT work/NN of/IN the/DT house/NN 
no/DT mention/NN of/IN disabled/JJ members/NNS 
the/DT grounds/NNS of/IN disability/NN 
proponents/NNS of/IN the/DT proposal/NN 
the/DT problem/NN of/IN incapacitated/JJ members/NNS 
different/JJ kind/NN of/IN legislative/JJ body/NN 
historic/JJ nature/NN of/IN the/DT debate/NN 
disappointment/NN because/IN of/IN its/PRP$ failure/NN 
the/DT stability/NN of/IN our/PRP$ structure/NN 
our/PRP$ structure/NN of/IN government/NN deficiencies/NNS 
representative/JJ baird/NN of/IN washington/NN which/WDT 
large/JJ number/NN of/IN members/NNS were/VBD 
different/JJ version/NN of/IN the/DT proposal/NN 
for/IN passage/NN of/IN a/DT constitutional/JJ 
the/DT importance/NN of/IN these/DT issues/NNS 
the/DT continuity/NN of/IN representation/NN act/NN 
official/JJ record/NN of/IN its/PRP$ many/JJ 
the/DT department/NN of/IN homeland/NN security/NN 
statutory/JJ line/NN of/IN success/NN to/TO 
significant/JJ issues/NNS of/IN presidential/JJ succession/NN 
the/DT role/NN of/IN the/DT speaker/NN 
the/DT ability/NN of/IN some/DT officials/NNS 
follows/VBZ explanation/NN of/IN day/NN layover/NN 
clause/NN a/DT of/IN rule/NN xiii/NN 
the/DT purpose/NN of/IN this/DT rule/NN 
reorganization/NN act/NN of/IN is/VBZ to/TO 
the/DT importance/NN of/IN this/DT rule/NN 
any/DT kind/NN of/IN major/JJ activity/NN 
very/RB critical/JJ of/IN special/JJ rules/NNS 
day/NN layover/NN of/IN committeereported/JJ legislation/NN 
day/NN layover/NN of/IN committeereported/JJ legislation/NN 
the/DT purpose/NN of/IN this/DT amendment/NN 
day/NN layover/NN of/IN committeereported/JJ legislation/NN 
sameday/JJ consideration/NN of/IN a/DT bill/NN 
critical/JJ part/NN of/IN the/DT congressional/JJ 
the/DT law/NN of/IN the/DT land/NN 
the/DT end/NN of/IN the/DT legislative/JJ 
restricted/VBN group/NN of/IN house/NN members/NNS 
houseapproved/JJ version/NN of/IN a/DT bill/NN 
a/DT number/NN of/IN protections/NNS against/IN 
a/DT a/DT of/IN house/NN rules/NNS 
the/DT purpose/NN of/IN this/DT rule/NN 
technical/JJ violation/NN of/IN one/CD or/CC 
more/JJR sections/NNS of/IN rule/NN xxii/NNS 
budget/NN act/NN of/IN 
certain/JJ points/NNS of/IN order/NN against/IN 
or/CC consideration/NN of/IN conference/NN reports/NNS 
twentyfive/NN of/IN the/DT special/JJ 
special/JJ one/CD of/IN the/DT troubling/JJ 
troubling/JJ consequences/NNS of/IN this/DT policy/NN 
the/DT details/NNS of/IN a/DT conference/NN 
some/DT of/IN these/DT conference/NN 
the/DT truth/NN of/IN the/DT old/JJ 
voluminous/JJ pieces/NNS of/IN legislation/NN which/WDT 
have/VBP some/DT of/IN the/DT provisions/NNS 
its/PRP$ share/NN of/IN embarrassing/JJ episodes/NNS 
quick/JJ approval/NN of/IN conference/NN reports/NNS 
example/NN one/CD of/IN the/DT earliest/JJS 
earliest/JJS actions/NNS of/IN the/DT th/NN 
the/DT end/NN of/IN the/DT th/NN 
a/DT number/NN of/IN other/JJ pharmaceutical/JJ 
their/PRP$ production/NN of/IN the/DT vaccine/NN 
added/VBD scores/NNS of/IN obscure/JJ provisions/NNS 
tax/NN returns/NNS of/IN us/PRP citizens/NNS 
day/NN layover/NN of/IN conference/NN report/NN 
slaughter/NN xz/NN of/IN new/JJ york/NN 
to/TO dismissal/NN of/IN complaints/NNS and/CC 
for/IN standards/NNS of/IN official/JJ conduct/NN 
the/DT details/NNS of/IN its/PRP$ rules/NNS 
some/DT of/IN the/DT newspapers/NNS 
from/IN some/DT of/IN its/PRP$ rule/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
investigate/VB allegations/NNS of/IN wrongdoing/NN by/IN 
by/IN members/NNS of/IN the/DT house/NN 
a/DT member/NN of/IN the/DT house/NN 
the/DT members/NNS of/IN the/DT house/NN 
a/DT result/NN of/IN the/DT ethics/NNS 
s/VBZ investigation/NN of/IN bribery/NN allegations/NNS 
drug/NN act/NN of/IN 
the/DT chairman/NN of/IN the/DT ethics/NNS 
first/JJ order/NN of/IN business/NN in/IN 
and/CC credibility/NN of/IN the/DT house/NN 
on/IN all/DT of/IN us/PRP republicans/NNS 
on/IN standards/NNS of/IN official/JJ conduct/NN 
be/VB proud/JJ of/IN how/WRB these/DT 
on/IN standards/NNS of/IN official/JJ conduct/NN 
the/DT process/NN of/IN using/VBG the/DT 
on/IN standards/NNS of/IN official/JJ conduct/NN 
on/IN standards/NNS of/IN official/JJ conduct/NN 
security/NN provision/NN of/IN the/DT rule/NN 
first/JJ day/NN of/IN a/DT new/JJ 
when/WRB all/DT of/IN us/PRP look/VBP 
that/DT kind/NN of/IN day/NN 
the/DT leadership/NN of/IN this/DT house/NN 
ethical/JJ standards/NNS of/IN the/DT united/VBN 
states/NNS house/NN of/IN representatives/NNS 
the/DT rest/NN of/IN the/DT world/NN 
ethical/JJ standards/NNS of/IN this/DT house/NN 
a/DT majority/NN of/IN seats/NNS in/IN 
more/JJR example/NN of/IN the/DT ethical/JJ 
the/DT courtesy/NN of/IN being/VBG able/JJ 
as/IN members/NNS of/IN congress/NN we/PRP 
